area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;010150;006603;012;04;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;010150006603;01015000660301204;010150006603012041;2713;78,390099173344;201912
1;010150;006603;012;05;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;010150006603;01015000660301205;010150006603012051;2713;78,390099173344;201912
1;010150;006603;012;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;3;3;3;3;010150006603;01015000660301206;010150006603012061;2713;78,390099173344;201912
1;010150;006603;012;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;010150006603;01015000660301207;010150006603012071;2713;78,390099173344;201912
1;010150;007002;012;01;1;3;3;1;1;3;2;3;1;2;3;3;3;3;3;3;3;2;2;2;3;3;3;3;010150007002;01015000700201201;010150007002012011;2711;126,205739869883;201912
1;010150;007002;012;02;1;3;3;2;2;3;3;3;3;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;010150007002;01015000700201202;010150007002012021;2711;126,205739869883;201912
1;010150;007002;012;03;1;2;2;1;1;2;2;2;2;3;3;2;2;2;3;3;3;2;2;2;3;2;3;3;010150007002;01015000700201203;010150007002012031;2711;126,205739869883;201912
1;010150;007002;012;04;1;2;2;1;1;3;2;2;2;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;010150007002;01015000700201204;010150007002012041;2711;126,205739869883;201912
1;010150;007002;012;05;1;3;3;1;1;3;2;3;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;010150007002;01015000700201205;010150007002012051;2711;126,205739869883;201912
1;010150;007002;012;06;1;3;3;1;1;4;2;4;2;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;010150007002;01015000700201206;010150007002012061;2711;126,205739869883;201912
1;010150;007002;012;07;1;2;2;1;1;2;2;2;2;3;3;2;2;2;2;3;3;2;2;2;3;3;3;3;010150007002;01015000700201207;010150007002012071;2711;126,205739869883;201912
1;010150;007401;012;01;1;2;2;1;1;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;010150007401;01015000740101201;010150007401012011;2713;71,6930745917987;201912
1;010150;007401;012;03;1;2;2;1;1;4;2;4;2;3;3;3;3;3;3;3;3;2;2;2;2;2;3;3;010150007401;01015000740101203;010150007401012031;2713;71,6930745917987;201912
1;010150;007401;012;04;1;3;3;1;1;4;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;010150007401;01015000740101204;010150007401012041;2713;71,6930745917987;201912
1;010150;007401;012;05;1;3;3;2;2;3;2;3;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;010150007401;01015000740101205;010150007401012051;2713;71,6930745917987;201912
1;010150;007401;012;06;1;3;3;1;1;3;2;3;2;1;1;3;3;3;3;3;3;2;2;2;3;3;3;3;010150007401;01015000740101206;010150007401012061;2713;71,6930745917987;201912
1;010150;007401;012;07;1;3;3;1;1;3;1;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;010150007401;01015000740101207;010150007401012071;2713;71,6930745917987;201912
1;010150;007401;012;09;1;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;3;3;3;3;010150007401;01015000740101209;010150007401012091;2713;71,6930745917987;201912
